0 ГраницыРЦ
Линий 839; ПОДов 0; дуг 0; окружностей 0
Линии(индекс 2): всего 839
ID(2) начало конец тип цвет
2 zzzz133 zzzz136 0 1
2 zzzz136 zzzz139 0 1
2 zzzz139 zzzz142 0 1
2 zzzz142 zzzz145 0 1
2 zzzz145 zzzz148 0 1
2 zzzz148 zzzz151 0 1
2 zzzz151 zzzz154 0 1
2 zzzz154 zzzz157 0 1
2 zzzz157 zzzz160 0 1
2 zzzz160 zzzz163 0 1
2 y1 y4 0 1
2 y4 y7 0 1
2 y7 y10 0 1
2 y10 y13 0 1
2 y13 y16 0 1
2 y16 y19 0 1
2 y19 y22 0 1
2 y22 y25 0 1
2 y25 y28 0 1
2 y28 y31 0 1
2 y31 y34 0 1
2 y34 y37 0 1
2 y37 y40 0 1
2 y40 y43 0 1
2 y43 y46 0 1
2 y46 y49 0 1
2 y49 y52 0 1
2 y52 y55 0 1
2 y55 y58 0 1
2 y58 y61 0 1
2 y61 y64 0 1
2 y64 y67 0 1
2 y67 y70 0 1
2 y70 y73 0 1
2 y73 y76 0 1
2 y76 y79 0 1
2 y79 y82 0 1
2 y82 y85 0 1
2 y85 y88 0 1
2 y88 y91 0 1
2 y91 y94 0 1
2 y94 y97 0 1
2 y97 y100 0 1
2 y100 y103 0 1
2 y103 y106 0 1
2 y106 y109 0 1
2 y109 y112 0 1
2 y112 y115 0 1
2 y115 y118 0 1
2 y118 y121 0 1
2 y121 y124 0 1
2 y124 y127 0 1
2 y127 y130 0 1
2 y130 y133 0 1
2 y133 y136 0 1
2 y136 y139 0 1
2 y139 y142 0 1
2 y142 y145 0 1
2 y145 y148 0 1
2 y148 y151 0 1
2 y151 y154 0 1
2 y154 y157 0 1
2 y157 y160 0 1
2 y160 y163 0 1
2 y163 y166 0 1
2 y166 y169 0 1
2 y169 y172 0 1
2 y172 y175 0 1
2 y175 y178 0 1
2 y178 y181 0 1
2 y181 y184 0 1
2 y184 y187 0 1
2 y187 y190 0 1
2 y190 y193 0 1
2 y193 y196 0 1
2 y196 y199 0 1
2 y199 y202 0 1
2 y202 y205 0 1
2 y205 y208 0 1
2 y208 y211 0 1
2 y211 y214 0 1
2 y214 y217 0 1
2 y217 y220 0 1
2 y220 y223 0 1
2 y223 y226 0 1
2 y226 y229 0 1
2 y229 y232 0 1
2 y232 y235 0 1
2 y235 y238 0 1
2 y238 y241 0 1
2 y241 y244 0 1
2 y244 y247 0 1
2 y247 y250 0 1
2 y250 y253 0 1
2 y253 y256 0 1
2 y256 y259 0 1
2 y259 y262 0 1
2 y262 y265 0 1
2 y265 y268 0 1
2 y268 y271 0 1
2 y271 y274 0 1
2 y274 y277 0 1
2 y277 y280 0 1
2 y280 y283 0 1
2 y283 y286 0 1
2 y286 y289 0 1
2 y289 y292 0 1
2 y292 y295 0 1
2 y295 y298 0 1
2 y298 y301 0 1
2 y301 y304 0 1
2 y304 y307 0 1
2 y307 y310 0 1
2 y310 y313 0 1
2 y313 y316 0 1
2 y316 y319 0 1
2 y319 y322 0 1
2 y322 y325 0 1
2 y325 y328 0 1
2 y328 y331 0 1
2 y331 y334 0 1
2 y334 y337 0 1
2 y337 y340 0 1
2 y340 y343 0 1
2 y343 y346 0 1
2 y346 y349 0 1
2 y349 y352 0 1
2 y352 y355 0 1
2 y355 y358 0 1
2 y358 y361 0 1
2 y361 y364 0 1
2 yy1 yy4 0 1
2 yy4 yy7 0 1
2 yy7 yy10 0 1
2 yy10 yy13 0 1
2 yy13 yy16 0 1
2 yy16 yy19 0 1
2 yy19 yy22 0 1
2 yy22 yy25 0 1
2 yy25 yy28 0 1
2 yy28 yy31 0 1
2 yy31 yy34 0 1
2 yy34 yy37 0 1
2 yy37 yy40 0 1
2 yy40 yy43 0 1
2 yy43 yy46 0 1
2 yy46 yy49 0 1
2 yy49 yy52 0 1
2 yy52 yy55 0 1
2 yy55 yy58 0 1
2 yy58 yy61 0 1
2 yy61 yy64 0 1
2 yy64 yy67 0 1
2 yy67 yy70 0 1
2 yy70 yy73 0 1
2 yy73 yy76 0 1
2 yy76 yy79 0 1
2 yy79 yy82 0 1
2 yy82 yy85 0 1
2 yy85 yy88 0 1
2 yy88 yy91 0 1
2 yy91 yy94 0 1
2 yy94 yy97 0 1
2 yy97 yy100 0 1
2 yy100 yy103 0 1
2 yy103 yy106 0 1
2 yy106 yy109 0 1
2 yy109 yy112 0 1
2 yy112 yy115 0 1
2 yy115 yy118 0 1
2 yy118 yy121 0 1
2 yy121 yy124 0 1
2 yy124 yy127 0 1
2 yy127 yy130 0 1
2 yy130 yy133 0 1
2 yy133 yy136 0 1
2 yy136 yy139 0 1
2 yy139 yy142 0 1
2 yy142 yy145 0 1
2 yy145 yy148 0 1
2 yy148 yy151 0 1
2 yy151 yy154 0 1
2 yy154 yy157 0 1
2 yy157 yy160 0 1
2 yy160 yy163 0 1
2 yy163 yy166 0 1
2 yy166 yy169 0 1
2 yy169 yy172 0 1
2 yy172 yy175 0 1
2 yy175 yy178 0 1
2 yy178 yy181 0 1
2 yy181 yy184 0 1
2 yy184 yy187 0 1
2 yy187 yy190 0 1
2 yy190 yy193 0 1
2 yy193 yy196 0 1
2 yy196 yy199 0 1
2 yy199 yy202 0 1
2 yy202 yy205 0 1
2 yy205 yy208 0 1
2 yy208 yy211 0 1
2 yy211 yy214 0 1
2 yy214 yy217 0 1
2 yy217 yy220 0 1
2 yy220 yy223 0 1
2 yy223 yy226 0 1
2 yy226 yy229 0 1
2 yy229 yy232 0 1
2 yy232 yy235 0 1
2 yy235 yy238 0 1
2 yy238 yy241 0 1
2 yy241 yy244 0 1
2 yy244 yy247 0 1
2 yy247 yy250 0 1
2 yy250 yy253 0 1
2 yy253 yy256 0 1
2 yy256 yy259 0 1
2 yy259 yy262 0 1
2 yy262 yy265 0 1
2 yy265 yy268 0 1
2 yy268 yy271 0 1
2 yy271 yy274 0 1
2 yy274 yy277 0 1
2 yy277 yy280 0 1
2 yy280 yy283 0 1
2 yy283 yy286 0 1
2 yy286 yy289 0 1
2 yy289 yy292 0 1
2 yy292 yy295 0 1
2 yy295 yy298 0 1
2 yy298 yy301 0 1
2 yy301 yy304 0 1
2 yy304 yy307 0 1
2 yy307 yy310 0 1
2 yy310 yy313 0 1
2 yy313 yy316 0 1
2 yy316 yy319 0 1
2 yy319 yy322 0 1
2 yy322 yy325 0 1
2 yy325 yy328 0 1
2 yy328 yy331 0 1
2 yy331 yy334 0 1
2 yy334 yy337 0 1
2 yy337 yy340 0 1
2 yy340 yy343 0 1
2 yy343 yy346 0 1
2 yy346 yy349 0 1
2 yy349 yy352 0 1
2 yy352 yy355 0 1
2 yy355 yy358 0 1
2 yy358 yy361 0 1
2 yy361 yy364 0 1
2 yy364 yy367 0 1
2 yy367 yy370 0 1
2 yy370 yy373 0 1
2 yy373 yy376 0 1
2 yy376 yy379 0 1
2 yy379 yy382 0 1
2 yy382 yy385 0 1
2 yy385 yy388 0 1
2 yy388 yy391 0 1
2 yy391 yy394 0 1
2 yy394 yy397 0 1
2 yy397 yy400 0 1
2 yy400 yy403 0 1
2 yy403 yy406 0 1
2 yy406 yy409 0 1
2 yy409 yy412 0 1
2 yy412 yy415 0 1
2 yy415 yy418 0 1
2 yy418 yy421 0 1
2 yy421 yy424 0 1
2 yy424 yy427 0 1
2 yy427 yy430 0 1
2 yy430 yy433 0 1
2 yy433 yy436 0 1
2 yy436 yy439 0 1
2 yy439 yy442 0 1
2 yy442 yy445 0 1
2 yy445 yy448 0 1
2 yy448 yy451 0 1
2 yy451 yy454 0 1
2 yy454 yy457 0 1
2 yy457 yy460 0 1
2 yy460 yy463 0 1
2 yy463 yy466 0 1
2 yy466 yy469 0 1
2 yy469 yy472 0 1
2 yyyy1 yyyy4 0 1
2 yyyy4 yyyy7 0 1
2 yyyy7 yyyy10 0 1
2 yyyy10 yyyy13 0 1
2 yyyy13 yyyy16 0 1
2 yyyy16 yyyy19 0 1
2 yyyy19 yyyy22 0 1
2 yyyy22 yyyy25 0 1
2 yyyy25 yyyy28 0 1
2 yyyy28 yyyy31 0 1
2 yyyy31 yyyy34 0 1
2 yyyy34 yyyy37 0 1
2 yyyy37 yyyy40 0 1
2 yyyy40 yyyy43 0 1
2 yyyy43 yyyy46 0 1
2 yyyy46 yyyy49 0 1
2 yyyy49 yyyy52 0 1
2 yyyy52 yyyy55 0 1
2 yyyy55 yyyy58 0 1
2 yyyy58 yyyy61 0 1
2 yyyy61 yyyy64 0 1
2 yyyy64 yyyy67 0 1
2 yyyy67 yyyy70 0 1
2 yyyy70 yyyy73 0 1
2 yyyy73 yyyy76 0 1
2 yyyy76 yyyy79 0 1
2 yyyy79 yyyy82 0 1
2 yyyy82 yyyy85 0 1
2 yyyy85 yyyy88 0 1
2 yyyy88 yyyy91 0 1
2 yyyy91 yyyy94 0 1
2 yyyy94 yyyy97 0 1
2 yyyy97 yyyy100 0 1
2 yyyy100 yyyy103 0 1
2 yyyy103 yyyy106 0 1
2 yyyy106 yyyy109 0 1
2 yyyy109 yyyy112 0 1
2 yyyy112 yyyy115 0 1
2 yyyy115 yyyy118 0 1
2 yyyy118 yyyy121 0 1
2 yyyy121 yyyy124 0 1
2 yyyy124 yyyy127 0 1
2 yyyy127 yyyy130 0 1
2 yyyy130 yyyy133 0 1
2 yyyy133 yyyy136 0 1
2 yyyy136 yyyy139 0 1
2 yyyy139 yyyy142 0 1
2 yyyy142 yyyy145 0 1
2 yyyy145 yyyy148 0 1
2 Udril Sovik 0 0
2 Budes Sovik 0 0
2 Budes Nidis 0 0
2 Nidis Iprel 0 0
2 Suran Akobi 0 0
2 Basok Akobi 0 0
2 Basok Madan 0 0
2 Rilta Madan 0 0
2 Gikos Niksi 0 0
2 Ledis Niksi 0 0
2 Ledis Rulas 0 0
2 Rulas rc84 0 0
2 Rilta Lalir 0 0
2 Lalir rc23 0 0
2 rc61 Iprel 0 0
2 Ultur rc61 0 0
2 Gitmi Ultur 0 0
2 Abrep Gitmi 0 0
2 rc23 Abrep 0 0
2 gg64 Udril 0 0
2 Gikos gg110 0 0
2 rc61 Narog 0 0
2 Narog Olmak 0 0
2 Olmak rc85 0 1
2 rc84 rc84 0 12
2 Nisot Lopta 0 12
2 Gupra Nisot 0 12
2 RC58 Rogul 0 12
2 Rogul Balga 0 12
2 Tirak Balga 0 12
2 Lusak RC58 0 12
2 Nelad Lusak 0 12
2 Sonuk Nelad 0 12
2 Dimed Sonuk 0 12
2 Ribma Dimed 0 12
2 Areli Alaka 0 12
2 RC24 Areli 0 12
2 rc23 RC24 0 12
2 Lopta rc84 0 12
2 RA09 GG01 0 1
2 Nebes RA06 0 1
2 RA06 Sorus 0 1
2 Sorus Aguni 0 1
2 Aguni Gubol 0 1
2 Gubol Ardel 0 1
2 Ardel RA09 0 1
2 Tigma RA03 0 1
2 Tigma Nebes 0 1
2 GG11 GG12 0 1
2 y1 GG12 0 1
2 GG11 GG10 0 1
